,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,66.263836927316,63.08416397384891,71.42305496049201,66.263836927316,66.263836927316,0.83606748448509,0.83606748448509,0.83606748448509,0.83606748448509,0.83606748448509,0.83606748448509,0.0,0.0,0.0,67.09990441180109
1,2019-01-03,66.1082039481812,62.952649779139406,70.99566838933605,66.1082039481812,66.1082039481812,1.0113886467799567,1.0113886467799567,1.0113886467799567,1.0113886467799567,1.0113886467799567,1.0113886467799567,0.0,0.0,0.0,67.11959259496116
2,2019-01-04,65.9525709690464,62.13809711438237,70.7012278783097,65.9525709690464,65.9525709690464,0.5941167209549979,0.5941167209549979,0.5941167209549979,0.5941167209549979,0.5941167209549979,0.5941167209549979,0.0,0.0,0.0,66.5466876900014
3,2019-01-07,65.48567203164201,62.18837853299096,71.01794915981498,65.48567203164201,65.48567203164201,1.0332679119712354,1.0332679119712354,1.0332679119712354,1.0332679119712354,1.0332679119712354,1.0332679119712354,0.0,0.0,0.0,66.51893994361325
4,2019-01-08,65.3300390525072,62.071781633473485,70.55780592476191,65.3300390525072,65.3300390525072,0.9150316069443926,0.9150316069443926,0.9150316069443926,0.9150316069443926,0.9150316069443926,0.9150316069443926,0.0,0.0,0.0,66.2450706594516
5,2019-01-09,65.17440607337241,62.103277846695775,70.25713534753126,65.17440607337241,65.17440607337241,0.8360674844849486,0.8360674844849486,0.8360674844849486,0.8360674844849486,0.8360674844849486,0.8360674844849486,0.0,0.0,0.0,66.01047355785735
6,2019-01-10,65.01877309423762,61.98054832534421,70.41180022455447,65.01877309423762,65.01877309423762,1.0113886467777609,1.0113886467777609,1.0113886467777609,1.0113886467777609,1.0113886467777609,1.0113886467777609,0.0,0.0,0.0,66.03016174101538
7,2019-01-11,64.86314011510282,61.18648855677321,69.69913305907751,64.86314011510282,64.86314011510282,0.5941167209527407,0.5941167209527407,0.5941167209527407,0.5941167209527407,0.5941167209527407,0.5941167209527407,0.0,0.0,0.0,65.45725683605556
8,2019-01-14,64.39624117769841,61.104055653004096,69.69829317099922,64.39624117769841,64.39624117769841,1.0332679119731014,1.0332679119731014,1.0332679119731014,1.0332679119731014,1.0332679119731014,1.0332679119731014,0.0,0.0,0.0,65.42950908967151
9,2019-01-15,64.24060819767188,61.10169080782312,69.37699031633969,64.24060819767188,64.24060819767188,0.9150316069457035,0.9150316069457035,0.9150316069457035,0.9150316069457035,0.9150316069457035,0.9150316069457035,0.0,0.0,0.0,65.15563980461758
10,2019-01-16,64.08497521764534,60.72090092931837,69.14898538874998,64.08497521764534,64.08497521764534,0.8360674844854956,0.8360674844854956,0.8360674844854956,0.8360674844854956,0.8360674844854956,0.8360674844854956,0.0,0.0,0.0,64.92104270213083
11,2019-01-17,63.929342237618776,61.075482850442995,69.13342513997029,63.929342237618776,63.929342237618776,1.01138864677865,1.01138864677865,1.01138864677865,1.01138864677865,1.01138864677865,1.01138864677865,0.0,0.0,0.0,64.94073088439742
12,2019-01-18,63.77370925759223,59.82013877373866,68.4215531886102,63.77370925759223,63.77370925759223,0.5941167209504834,0.5941167209504834,0.5941167209504834,0.5941167209504834,0.5941167209504834,0.5941167209504834,0.0,0.0,0.0,64.36782597854271
13,2019-01-22,63.151177337486054,59.964930795631595,68.14782470429942,63.151177337486054,63.151177337486054,0.9150316069450123,0.9150316069450123,0.9150316069450123,0.9150316069450123,0.9150316069450123,0.9150316069450123,0.0,0.0,0.0,64.06620894443107
14,2019-01-23,62.9955443574595,59.76203251113993,68.3721802417521,62.9955443574595,62.9955443574595,0.8360674844861546,0.8360674844861546,0.8360674844861546,0.8360674844861546,0.8360674844861546,0.8360674844861546,0.0,0.0,0.0,63.83161184194566
15,2019-01-24,62.83991137743296,59.689899897085425,68.05901350854883,62.83991137743296,62.83991137743296,1.0113886467778328,1.0113886467778328,1.0113886467778328,1.0113886467778328,1.0113886467778328,1.0113886467778328,0.0,0.0,0.0,63.85130002421079
16,2019-01-25,62.684278397406416,58.921743974936135,67.43258741745296,62.684278397406416,62.684278397406416,0.5941167209482262,0.5941167209482262,0.5941167209482262,0.5941167209482262,0.5941167209482262,0.5941167209482262,0.0,0.0,0.0,63.278395118354645
17,2019-01-28,62.21737943004856,58.98634294817685,67.58067497028568,62.21737943004856,62.21737943004856,1.0332679119712191,1.0332679119712191,1.0332679119712191,1.0332679119712191,1.0332679119712191,1.0332679119712191,0.0,0.0,0.0,63.25064734201978
18,2019-01-29,62.06174644092928,58.82022097996061,67.52943735717743,62.06174644092928,62.06174644092928,0.9150316069443207,0.9150316069443207,0.9150316069443207,0.9150316069443207,0.9150316069443207,0.9150316069443207,0.0,0.0,0.0,62.976778047873594
19,2019-01-30,61.906113451809986,58.54996191940134,67.07326815454596,61.906113451809986,61.906113451809986,0.8360674844842996,0.8360674844842996,0.8360674844842996,0.8360674844842996,0.8360674844842996,0.8360674844842996,0.0,0.0,0.0,62.74218093629428
20,2019-01-31,61.75048046269071,58.73534289602593,66.89815239186099,61.75048046269071,61.75048046269071,1.0113886467790494,1.0113886467790494,1.0113886467790494,1.0113886467790494,1.0113886467790494,1.0113886467790494,0.0,0.0,0.0,62.76186910946976
